id,extracted_words
73565,"['2008', 'pinot', 'beaujolais', 'nouveau', 'freshly', 'crushed', 'cherries', 'tangy', 'acidity', 'juicy', 'cheeseburger']"
36377,"['steven', 'kent', 'livermore', 'cabernets', 'ghielmetti', 'home', 'ranch', 'smith', 'ranch', '79%', 'cabernet', 'sauvignon', 'cabernet', 'franc', 'malbec', 'petit', 'verdot', 'varietal', 'livermore', 'time', 'to', 'develop', 'essentials']"
9889,"['syrah', 'cabernet', 'sauvignon', 'warm', 'blend', 'full', 'herbal', 'concentrated', 'black', 'fruits', 'dark', 'tannins', 'spice', 'warm', 'climate', 'drink', 'now', 'better', 'from', '2016']"
1230,"['floral', 'fragrance', 'acacia', 'spanish', 'broom', 'chamomile', 'white', 'peach', 'tangerine', 'zest', 'fresh', 'acidity']"
39975,"['chenin', 'blanc', 'green', 'vegetable', 'aromas', 'fresh', 'kiwi', 'lime', 'pepper', 'salt', 'smooth', 'texture', 'mature', 'almond', 'flavors', '3–4', 'years', 'aging']"
28105,"['chardonnay', 'ripe', 'orange', 'lime', 'honey', 'dry', 'acidity', 'sweet-and-sour', 'taste', 'mushroom', 'risotto', 'garlic', 'shrimp', 'chicken', 'fajitas']"
4911,"['pinot', 'noir', 'delicate', 'drinking', 'pleasure', 'raw', 'mushroom', 'raspberries', 'cherries', '2016']"
40179,"['kathy', 'joseph', 'rosé', 'cherry', 'cola', 'maraschino', 'cherry', 'effervescent', 'pomegranate', 'long', 'finish', 'fresh', 'garden', 'salad', 'breaded', 'chicken', 'cutlets', 'cheeseburger']"
96018,"['berries', 'stone', 'fruits', 'lively', 'zesty', 'nectarine', 'orange', 'crystalline', 'mouthfeel', 'vranken', 'america']"
35291,"['pale', 'pink', 'sparkler', 'intensity', 'elegance', 'cranberry', 'toasted', 'almond', 'mature', 'fruit', 'grapefruit', 'perlage', 'steady', 'foamy']"
42798,"['astringent', 'green', 'flavors', 'bitter', 'finish']"
28809,"['pomelo', 'skin', 'tangelo', 'lime', 'pink', 'apple', 'lemon', 'skin', 'citrus', 'flavors', 'riper', 'apple', 'cold', 'pear', 'crisp', 'pear', 'nectarine']"
13915,"['viognier', 'sicilian', 'floral', 'nuances', 'white', 'almond', 'orange', 'blossom', 'sea', 'bass', 'grilled', 'lemon', 'leaves', 'fried', 'squid']"
20355,"['yeasty', 'bready', 'cantaloupe', 'citrus', 'palate', 'foams', 'flavors', 'bland', 'powdered', 'sugar', 'orange', 'finish']"
9558,"['gary', 'andrus', '1998', 'rose', 'tone', 'rose', 'petals', 'ripe', 'cherries', 'sandalwood', 'cocoa', 'powder', 'cinnamon', 'orange-liqueur', 'drink', 'now', 'through', '2021']"
1862,"['figeac', 'cabernet', 'sauvignon', 'cabernet', 'franc', 'dense', 'wine', 'great', 'tannins', 'perfumed', 'complex', 'tannins', 'black', 'fruits', 'acidity', 'long-term', 'aging', 'drink', 'from', '2026']"
81086,"['15.8%', 'alcohol', 'chili', 'pepper', 'blackberry', 'dark', 'unsweetened', 'chocolate', 'balanced', 'elegant', 'barbecue', 'red']"
97304,"['chardonnay', 'pinot', 'noir', 'medium-bodied', 'easy-drinking', 'herbal', 'complexity', 'cherry-tinged', 'fruit', 'ripe', 'supple', 'tannins', 'crisp', 'acidity']"
85860,"['petite', 'sirah', 'dark', 'full-bodied', 'red', 'wine', 'significant', 'tannins', 'dry', 'berry', 'flavors', 'currant', 'flavors', 'spice', 'flavors', 'rustic', 'barbecue']"
77282,"['champagne', 'green', 'style', 'clean', 'crisp', 'cooperative', 'great', 'value', 'pleasing', 'freshness', 'grape', 'expectations', 'georgia']"
83939,"['chaleur', 'estate', 'wine', 'herbal', 'olive', 'chalk', 'coffee', 'grounds', 'plum', 'cherry', 'chocolate', 'herb', 'pepper', 'subtle', 'sleek', 'built', 'to', 'age', 'decanted']"
67943,"['cabernet', 'napa', 'lush', 'tannins', 'black', 'currants', 'blackberries', 'cedar', 'steak']"
47513,"['light', 'red', 'fresh', 'berry', 'aromas', 'dried', 'herbs', 'dry', 'appealing', 'softness', 'entry-level']"
41278,"['malbec', 'soft', 'fruity', 'dark', 'wine', 'raisins', 'boysenberries', 'black', 'cherries', 'coffee', 'caramel', 'excellent', 'balance', 'inky', 'dark', 'colors']"
38028,"['light', 'fresh', 'wine', 'pineapple', 'pear', 'delicate', 'lift', 'crispness', 'citrus', 'toast', 'white', 'burgundy', 'frederick', 'wildman', '&', 'sons', 'ltd.']"
36315,"['dark', 'deep', 'cola', 'black', 'fruit', 'truffle', 'warm-climate', 'wine', 'big', 'body', 'large', 'flavors', 'black', 'plum', 'olive', 'coffee', 'short', 'finish', 'simple', 'finish']"
77717,"['riesling', 'off-dry', 'light', 'citrusy', 'floral', 'notes', 'spice', 'notes', 'finish']"
29438,"['young', 'wine', 'full-bodied', 'tannins', 'cellaring', 'tart', 'balance']"
98849,"['thin', 'watery', 'diluted', 'citrus', 'flavors', 'raw', 'acidity']"
77980,"['sobra', 'brazilian', 'portuguese', 'bordeaux', 'blend', 'black', 'fruits', 'smoky', 'wood', 'pepper', 'bacon', 'fat']"
14607,"['côtes', 'du', 'rhône', 'blend', 'terre', 'rouge', 'cherry', 'boysenberry', 'black', 'olive', 'gamy', 'pepper', 'aromas', 'flavors', 'weekday', 'meal', 'easy', 'to', 'drink']"
5438,"['cahors', 'gaudou', 'structured', 'wine', 'firm', 'tannins', 'fruity', 'fresh', 'black-currant', 'flavor', 'crisp', 'acidity', 'age', 'drink', 'from', '2016']"
88997,"['burgundian', 'technique', 'aromas', 'tastes', 'heavy', 'leesy', 'yeasty', 'toasted', 'oak', 'underlying', 'fruit']"
34715,"['albariño', 'fresh', 'green', 'melon', 'apple', 'honey', 'minerals', 'crisp', 'orange', 'flavors', 'chunky', 'pithy', 'finish', 'under', '$15', 'casual']"
51077,"['bacchus', 'vineyard', 'oaky', 'buttery', 'chardonnay', 'everyday', 'quaffer', 'oaky', 'flavors', 'simple', 'clean', 'apple', 'flavored']"
3565,"['grenache', 'pink', 'doug', 'margerum', 'yeasty', 'champagne-like', 'aromas', 'lemon-peel', 'wet', 'slate', 'minerality', 'tingling', 'acidity', 'chalky', 'lime', 'cotton', 'candy', 'compelling', 'tension']"
74729,"['pinot', 'noir', 'chardonnay', 'aged', 'on', 'the', 'lees', 'creamy', 'yeasty', 'complexity', 'limes', 'orange', 'zest', 'roasted', 'hazelnuts', 'minerals', 'smoke', '2014', '563', 'cases', 'produced']"
63422,"['dry', 'black', 'pepper', 'wild', 'blackberry', 'tannins', 'crunchy', 'acidity', 'rich', 'steak']"
25870,"['mourvèdre', 'syrah', 'calaveras', 'dalton', 'vineyard', 'twisted', 'oak', 'river', 'of', 'skulls', 'cherry', 'black', 'tea', 'candied', 'dark', 'plum', 'bright', 'acidity', 'tannins', 'raspberry', 'flavors']"
67112,"['brunello', 'montalcino', 'crisp', 'tonic', 'aromas', 'cassis', 'wild', 'berry', 'vanilla', 'toasted', 'nut', 'sophistication', 'complexity']"
54438,"['favorita', 'white', 'wine', 'grape', 'northern', 'italy', 'fresh', 'flavors', 'stainless', 'steel', 'lemon', 'zest', 'white', 'blossom', 'cut', 'grass']"
89640,"['acidity', 'pineapple', 'vanilla', 'sweet', 'sour', 'sour', 'cough', 'drop', 'simple', 'wine']"
18786,"['tamber', 'bey', 'oakville', 'yountville', 'cabernet', 'dry', 'tannic', 'blackberry', 'cherry', '2009']"
40259,"['weedy', 'sweet', 'green', 'strawberry', 'caramel', 'jammy', 'berry', 'medium', 'weight', 'burdensome', 'sugars', 'clumsy', 'finish']"
98965,"['flat', 'cardboard', 'fruit', 'vintage']"
37020,"['tempranillo', 'bulky', 'medicinal', 'prickly', 'sour', 'not', 'too', 'ripe', 'short', 'flavors', 'underdeveloped']"
34925,"['brambly', 'notes', 'forest', 'floor', 'underbrush', 'fresh', 'fruit', 'chewy', 'wet', 'tobacco', 'wild', 'mushroom', 'complexity']"
85609,"['cascina', 'adelaide', 'barolo', 'bold', 'innovative', 'powerful', 'generous', 'spice', 'berry', 'smoke', 'mineral', 'tones', 'intensity', 'persistency']"
93975,"['prosecco', 'cartizze', 'cru', 'bortolin', 'estate', 'mineral', 'notes', 'talc', 'powder', 'creamy', 'peach', 'yellow', 'fruit', 'fresh', 'flowers', 'feminine', 'note']"
35900,"['rounded', 'texture', 'smooth', 'wood', 'yellow', 'fruits', 'generous', 'wine', 'weight', 'richness', 'acidity', 'prominent', 'apple', 'skin', 'character']"
30219,"['oregon', 'pinot', 'brambly', 'black', 'cherry', 'cola', 'ripe', 'tannins', 'medium-long', 'finish', '$18', 'top-flight', 'vintage.']"
821,"['forest', 'floor', 'porcini', 'mushroom', 'espresso', 'bright', 'berry', 'coffee', 'grilled', 'herbs', 'firm', 'tannins', 'wine', 'type', 'drink', '2015–2020']"
93271,"['châteauneuf', 'blanc', 'dark', 'color', 'aromatically', 'muted', 'neutral', 'flavor', 'ample', 'breadth', 'lacking', 'richness', 'lacking', 'depth', 'conundrum']"
82383,"['soft', 'cloyingly', 'sweet', 'pineapple', 'jam', 'buttered', 'popcorn', 'tired', 'old', 'drink', 'up']"
32339,"['full', 'round', 'snappy', 'acidity', 'luscious', 'fruit', 'green', 'fruits', 'yellow', 'fruits', 'fine', 'texture', 'length', 'mineral', 'streak', 'fruity', 'medium-term', 'aging', 'potential']"
54283,"['cabernet', 'ultrarich', 'ripe', 'jammy', 'blackberry', 'blueberry', 'cherry', 'fruit', 'flavors', 'milk', 'chocolate', 'sweetness', 'soft', 'tannins', 'modern', 'style', 'six', 'years']"
43946,"['rugged', 'hot', 'plummy', 'cherry', 'flavor', 'bright', 'acidity', 'zingy', 'acidity', 'smoky', 'oak']"
49251,"['sonoma', 'mount', 'st.', 'helena', 'tannic', 'concentrated', '100%', 'cabernet', 'blackberries', 'dark', 'chocolate', 'pain', 'grillé', 'aged', 'in', '49%', 'new', 'oak', 'smoky', 'spice', 'overtones', 'drink', 'now', 'through', '2013']"
9209,"['fruity', 'fresh', 'crisp', 'acidity', 'citrus', 'red', 'currant', 'clean', 'aftertaste', 'screwcap']"
35544,"['russian', 'river', 'sauvignon', 'blanc', ""'09"", 'dry', 'crisp', 'citrus', 'gooseberry', 'spice', 'quality', 'richness', 'vintages']"
30909,"['apple', 'nectarine', 'yeast-based', 'vanilla', 'fresh', 'citric', 'lime', 'green', 'apple', 'pineapple', 'clean', 'finish.']"
6152,"['zin', 'blackberry', 'vanilla', 'soft', 'texture', 'structure']"
50031,"['lodi', 'cab', 'vintage', 'soft', 'lush', 'milk', 'chocolate', 'cassis', 'vanillins', 'sweet', 'char', 'oak', 'easy', 'delicious']"
17364,"['late-disgorged', '11', 'years', 'ultrafine', 'mousse', 'refined', 'silky', 'rich', 'flavors', 'limes', 'strawberries', 'toasty', 'lees', 'minerals', 'sparkling', 'wine', 'years', 'of', 'development']"
74432,"['pinot', 'noir', 'zesty', 'acidity', 'pomegranate', 'rhubarb', 'red', 'cherry', 'licorice', 'dry', 'complexly', 'layered', 'balanced', 'develop', 'nuances', 'six', 'years']"
16884,"['chardonnay', 'butterscotch', 'pineapple', 'peach', 'jam', 'crisp', 'acidity', 'minerality', 'sweet', 'finish']"
43557,"['montepulciano', 'sangiovese', 'central', 'italy', 'fresh', 'berries', 'young', 'spice', 'blueberry', 'raspberry', 'bright', 'blend', 'easy', 'tannins', 'bright', 'finish', 'acidic', 'finish']"
91586,"['tempranillo', 'rosé', 'california', 'dry', 'crisp', 'low', 'alcohol', 'creamy', 'spicy', 'cherry', 'raspberry', 'vanilla', 'bean', 'flavors.']"
62250,"['shenandoah', 'barbera', 'baked', 'plum', 'baking', 'spice', 'soft', 'rustic', 'refined', 'mocha', 'espresso', 'expert', 'acidity', 'mediterranean-themed', 'food']"
8235,"['full-bodied', 'new-barrel', 'lees-stirring', 'deep', 'gold', 'color', 'ripe', 'pear', 'buttered', 'toast', 'aromas', 'pear', 'apple', 'lingering', 'finish']"
89202,"['big', 'oaky', 'wood-grilled', 'peaches', 'roasted', 'red', 'apples', 'buttery', 'toast', 'rich', 'nuttiness', 'full', 'mouthfeel', 'slightly', 'fat', 'moderate', 'acidity', 'medium-length', 'finish', 'smoky', 'finish']"
36063,"['syrah', 'viognier', 'blended', 'vineyards', 'avas', 'grapefruit', 'citrus', 'flavor', 'acid', 'full', 'forward', 'acidic', 'walter', 'dacon', 'syrahs']"
18116,"['finely', 'structured', 'tannin', 'rich', 'texture', 'berry', 'fruits', 'dark', 'plums', 'bitter', 'coffee']"
93776,"['flowers', 'cherries', 'cured', 'meat', 'pie', 'cherries', 'fruit', 'pastry', 'elegant', 'wine']"
75448,"['flagship', 'red', '64%', 'cabernet', 'sauvignon', '22%', 'merlot', '14%', 'syrah', 'sturdy', 'structured', 'to', 'age', 'pepper', 'spice', 'muscle', 'verve', 'youthful', 'floral', 'notes', 'berry', 'fruits', 'ripe', 'graceful', 'sweet', 'fruit', 'pleasing', 'midpalate', 'clean', 'finish', 'textural', 'finish']"
74507,"['merlot', 'cherries', 'cocoa', 'cola', 'tobacco', 'smooth', 'early', 'drinking', 'soft', 'acids', 'soft', 'tannins']"
26424,"['cabernet', 'napa', 'black', 'currants', 'tough', 'tannins', 'sweet', 'oak', 'age', 'airing']"
26735,"['sangiovese', 'syrah', 'cabernet', 'sauvignon', 'cabernet', 'franc', 'fruit', 'flavors', 'cherry', 'blackberry', 'spice', 'note', 'food-friendly', 'blend']"
32321,"['firm', 'stony', 'dry', 'tannins', 'intense', 'acidity', 'red', 'cherry', 'flavor', 'dense', 'concentrated', 'several', 'years', 'of', 'aging']"
73311,"['candied', 'fruit', 'punch', 'bowl', 'aromas', 'tart', 'rubbery', 'raspberry', 'hot', 'raw', 'tough', 'full', 'flavor', 'plum', 'skin']"
2694,"['black', 'cherry', 'licorice', 'leather', 'violet', 'tobacco', 'black', 'raspberry', 'wild', 'cherry', 'anisette', 'black', 'pepper', 'tannins', '2017–2024']"
54930,"['fresh', 'full-bodied', 'juicy', 'dusty', 'dark', 'plum', 'chocolate', 'french', 'oak', 'american', 'oak', 'tobacco', 'vanilla', 'finish']"
62971,"['il', 'puro', 'merlot', 'cherry', 'spice', 'mineral', 'smooth', 'texture', 'silky', 'easy', 'drinking', 'pleasure']"
7340,"['chardonnay', 'pineapple', 'lemon', 'candy', 'oak', 'flavors', 'acidity', 'balance', 'basic', 'everyday', 'price']"
2339,"['light', 'ruby', 'fresh', 'raspberry', 'red', 'cherry', 'ripe', 'plum', 'smooth', 'texture', 'medium', 'bodied', 'easy', 'to', 'enjoy']"
60147,"['red', 'wine', 'mild', 'crisp', 'red', 'berry', 'almond', 'cola', 'lasagna', 'meat-filled', 'ravioli', 'mushroom', 'risotto', 'pairing', 'partners']"
70475,"['banfi', 'chianti', 'classico', 'sangiovese', 'food-friendly', 'natural', 'acidity', 'pasta', 'dishes', 'butter', 'cream-based']"
17583,"['minerality', 'acidity', 'mouthfeel', 'raspberry', 'sour', 'cherry', 'blueberry', 'cola', 'sandalwood', 'drink', 'now', '2013']"
33833,"['boedecker', 'cellars', 'momtazi', 'vineyard', 'cherry', 'grove', 'fragrant', 'rose', 'petals', 'cherry', 'candy', 'spicy', 'cinnamon', 'textural', 'cola-laced', 'finish']"
3112,"['pinot', 'earthy', 'spicy', 'fruit', 'flavors', 'baked', 'red', 'raspberry', 'strawberry', 'denseness', 'palate', 'finish']"
29953,"['blend', 'spicy', 'fruity', 'sweet', 'strawberry', 'cherry', 'candy', 'new', 'oak', 'smooth', 'accessible', 'delicious', 'sweet', 'straw']"
103591,"['retro', 'package', 'one-dimensional', 'heavily', 'toasted', 'oak', 'narrow', 'fruit', ""'98"", 'vintage', 'toast', 'vanilla', 'coconut', 'dry', 'powdery', 'tannins', 'taut', 'finish']"
71118,"['dolcetto', 'dark', 'concentrated', 'style', 'mineral', 'tone', 'blueberry', 'raspberry', 'tonic', 'vibrant', 'fresh', 'quality', 'of', 'fruit']"
37091,"['blackberries', 'black', 'currants', 'dark', 'chocolate', 'toasted', 'oak', 'tannins', 'rich', 'ripe', 'drink', 'now–2020']"
48301,"['blueberry', 'cinnamon', 'oak', 'spice', 'depth', 'complexity', 'roasted', 'chicken']"
103769,"['raspberry', 'tomatoes', 'dry', 'astringent', 'tannic', 'finish']"
16280,"['cabernet', 'mayacamas', 'tannins', 'black', 'currant', 'dry', 'drinkable', 'decadence', 'age', 'decade']"
90124,"['baked', 'porty', 'sweet', 'residual', 'sugar', 'cherry', 'raspberry', 'jam']"
4451,"['albarino', 'stainless', 'steel', 'malolactic', 'fermentation', 'peach', 'apricot', 'textured', 'long-lasting', 'acidity', 'seafood', 'shellfish', 'tapas']"
101547,"['melon', 'pineapple', 'apple', 'pear', 'aromatic', 'casual', 'approachable', 'halby', 'marketing']"
35678,"['roses', 'lychee', 'pineapple', 'lemon', 'tropical', 'fruit', 'flowers', 'balanced', 'fresh', 'summer', 'salads', 'spicy', 'ethnic', 'cuisine']"
37017,"['bordeaux', 'blend', 'syrah', 'rustic', 'slightly', 'raisiny', 'excellent', 'vineyards', 'overripe', 'soft', 'forward', 'leathery', 'ready', 'to', 'drink']"
1956,"['wood', 'aging', 'smoky', 'character', 'toasty', 'flavor', 'tannins', '2009', 'vintage', 'plum', 'fruits', 'firm', 'tannins', 'age', 'until', '2018']"
94761,"['60-year-old', 'vines', 'concentration', 'ageability', 'structured', 'firm', 'dry', '5', 'years', 'mineral', 'stony', 'character', 'fruit']"
82293,"['chardonnay', 'ripe', 'rich', 'jammy', 'pineapples', 'green', 'apples', 'limes', 'smoky', 'caramelized', 'oak', 'creamy', 'slightly', 'sour', 'lees', 'balanced', 'crisp', 'acidity', '2012']"
21041,"['cassis', 'plum', 'mid-weight', 'cabernet', 'sauvignon', 'foothills', 'licorice', 'vanilla', 'finish', '33', 'months', 'new', 'american', 'oak']"
84421,"['soft', 'rounded', 'ready', 'to', 'drink', 'white', 'fruits', 'light', 'green', 'fruits', 'delicious', 'open', 'character', 'toasty', 'flavors', 'spice']"
20499,"['grenache', 'mourvèdre', 'syrah', 'counoise', 'red', 'raspberry', 'pomegranate', 'perfumed', 'aromatics', 'earthiness', 'acidity']"
9274,"['dyer', 'cabernet', '2009', 'tannins', 'blackberry', 'cherry', 'oak', 'unintegrated', 'oak', 'fruit', 'mineral', 'notes', 'drinkability', '2015–2025']"
35839,"['soapy', 'mouthfeel', 'high', 'ph', 'wine', 'apple', 'flavors', 'pear', 'flavors', 'mild', 'thin']"
25925,"['floral', 'lean', 'acidic', 'lemon', 'green', 'apple']"
88923,"['tannic', 'rough']"
88796,"['prosecco', 'extra', 'dry', 'light', 'easy', 'cut', 'grass', 'hay', 'ripe', 'banana', 'cardboard', 'tonic', 'lean', 'crisp', 'freshness']"
34140,"['cabernet', 'sauvignon', '100%', 'new', 'french', 'oak', 'sweetly', 'ripe', 'cherries', 'blackberries', 'tannins', 'continued', 'cellaring', 'alcohol', 'acidity', 'ph', 'ideal', 'balance.']"
1574,"['exotic', 'complex', 'medium-bodied', 'structured', 'aromas', 'charcuterie', 'mixed', 'nut', 'cedar', 'pencil', 'dusty', 'tannic', 'profile', 'oak']"
2280,"['oxblood', 'meaty', 'tannic', 'espresso', 'black', 'licorice', 'composted', 'earth', 'tart', 'blackberry', 'fruit', 'aromatic', 'spicy', 'nicely', 'balanced']"
48726,"['sweet', 'port', 'chocolate', 'prune', 'chile', 'pepper', '17%', 'alcohol']"
36433,"['bordeaux', 'blend', 'howell', 'mountain', 'cabernet', 'blackberries', 'cherries', 'cassis', 'chocolate', 'herbs', 'spices', 'sweetly', 'smoked', 'oak', 'tannins', 'acidity', 'age', 'potential']"
79770,"['st.', 'jean', 'chardonnay', 'robert', 'young', 'vineyard', 'belle', 'terre', 'vineyard', 'french', 'oak', 'spicy', 'flavors', 'tropical', 'fruit', 'flavors', 'acid', 'balance', 'oak', 'seasoning', 'satisfying', 'vintage']"
76049,"['cab', 'franc', 'new', 'oak', 'blueberries', 'black', 'cherry', 'cassis', 'mocha', 'espresso', 'black', 'pepper', 'cedar', 'tannins']"
40586,"['syrah', 'grenache', 'estate-grown', 'lonesome', 'springs', 'vineyard', 'bright', 'grapey', 'floral', 'scents', 'berries', 'peppery', 'tannins', 'purple', 'youthful', 'fresh', 'volatile']"
43569,"['zin', 'fruity', 'earthy', 'mushroomy', 'vanilla', 'oak', 'tannic', 'core', 'of', 'fruit', 'austere', 'cellar', 'aging']"
87288,"['smooth', 'dry', 'blackberries', 'cherries', 'currants', 'cedar', 'spicy', 'finish', 'style', 'elegance', ""sommelier's"", 'bargain', '2853', 'cases', 'produced']"
43975,"['rioja', 'smooth', 'earthy', 'leathery', 'aromas', 'spicy', 'dry', 'fruit', 'good', 'acidity', 'table', 'wine', 'weak', 'vintage']"
20154,"['bold', 'full', 'bodied', 'aromas', 'steeped', 'plum', 'prune', 'clove', 'blue', 'flower', 'concentrated', 'savory', 'palate', 'mature', 'blackberry', 'raisin', 'licorice', 'big', 'tannins', 'velvety', 'tannins', 'freshness', 'drinkable', 'quality.']"
101572,"['earthy', 'funky', 'green', 'pepper', 'bell', 'pepper', 'cracked', 'black', 'pepper', 'currant', 'licorice', 'oak', 'bright', 'acidity', 'vegetal', 'core']"
56066,"['pinot', 'raspberry', 'cherry', 'vanilla', 'buttered', 'toast', 'oak', 'barrels', 'acidity', 'soft', 'tannins', 'drinkable', 'age', '6–8', 'years']"
53923,"['gewürztraminer', 'celilo', 'vines', '1982', '2010', 'high-altitude', 'searing', 'acidity', 'varietal', 'spice', 'rose', 'petals', 'lemons', 'grapefruit', 'star', 'fruit', 'gooseberries', 'neutral', 'french', 'oak', 'lees', 'age', 'for', 'decades.']"
29167,"['black', 'fruits', 'dried', 'herbs', 'asphalt', 'fig', 'plum', 'minty', 'lift', 'mission', 'figs', 'fudge', 'mocha']"
30551,"['chardonnay', 'brisk', 'acidity', 'crisp', 'acidity', 'pineapple', 'orange', 'mango', 'buttered', 'toast', 'sweet', 'butterscotch']"
5671,"['anderson', 'valley', 'red', 'cherry', 'raspberry', 'turned', 'earth', 'low-level', 'fruit', 'flavors', 'good', 'balance', 'acidity', 'ripeness']"
28267,"['red', 'passito', 'dessert', 'wine', 'tuscany', 'bittersweet', 'aromas', 'wild', 'cherry', 'raspberry', 'cassis', 'cola', 'chocolate', 'brownies', 'cherry', 'pie']"
86996,"['cabernet-based', 'bordeaux', 'blend', 'mount', 'veeder', 'black', 'currant', 'licorice', 'cedary', 'oak', '80%', 'new', 'french', 'oak', 'mountain', 'tannins', 'modern', 'napa', 'style', 'opulent', 'six', 'years', 'aging', 'potential']"
51635,"['oak-driven', 'espresso', 'coffee', 'toasted', 'almond', 'red', 'fruit', 'black', 'fruit', 'chocolate', 'black', 'pepper', 'technically', 'well', 'made', 'shy', 'on', 'personality', 'length']"
