id,country,description,Fruity Favour,Spicy Favour,Earthy Favour,Floral Favour,Oaky Favour,Nutty Favour,Herbal Favour,Mineral Favour,Sweet Favour,Body (Weight/Texture),Acidity,Sweetness Level,Alcohol Level (Perception),Ageability,Food Pairing / Occasions,Tannins,Region/Terroir,Color,Finish,Aging Method,Climate Characteristics,Intensity/Aroma,Style,Unique/Standout Notes
23503,US,"Fresh ripe raspberry aromas are cut with cranberry-skin tartness in this wine by Josh Baker and Matt Brain. They have also managed to sneak blood, pencil shavings, eucalyptus and vanilla stick into the nose of this appellation blend. It's lively and tasty with ripe, tart red fruits once sipped, juicy yet cut with chaparral scrub elements.",berry,,,,vanilla,,eucalyptus,,,medium-bodied,medium acidity,dry,medium,ready to drink,casual,,,ruby,,,cool climate,pronounced,modern,
49705,US,"Here's a pleasant, fruity, rich Bordeaux blend that impresses for its sheer wealth of flavor. Floods the mouth with blackberries, cherries, red and black currants and sweet, smoky oak, with firm but finely ground tannins. Feels direct and simple now, but that could be a function of youth. Try holding for 4–6 years and see where it goes.",berry,,,,smoke,,,,,full-bodied,,dry,medium,needs aging,dinner,medium tannins,,ruby,,oak barrel,warm climate,pronounced,modern,smoky
48057,France,"Powerful and intense without going over the top, this is a fine example of white Hermitage. The golden straw color gives a first indication of its richness, followed by scents of honey, even a hint of butterscotch. It's unctuous in the mouth, boasting flavors of grilled nuts and stone fruits, and finishing with just a touch of warmth.",peach,,,honeysuckle,oak,walnut,,,honey,full-bodied,,off-dry,medium,long-term aging potential,dinner,,,golden,medium,oak barrel,warm climate,intense,traditional,
33607,US,"Though it's a huge tannic monster right now, this Bordeaux blend, a first release and new brand name from Steven Kent Winery, is an ode to Steven Kent Mirassou's family's long lineage in California winemaking and the roots of Livermore's history in wine as well. A majority Cabernet (75%), with all the lush cassis and black cherry one would hope for, the wine shows nicely honed herbal notes from its 15% Cab Franc in the middle, with a little touch of spice on the finish coming from 5% Petit Verdot (3% Malbec and 2% Merlot round out the blend). Give this one time and it will surely reward.",,,,,,,,,,full-bodied,,,,long-term aging potential,dinner,high tannins,,,,,warm climate,intense,traditional,
58284,US,"Dry as a bone, with bristling minerality, this is an elegant rosé that balances penetrating strawberry, cherry and plum flavors with sharp, lime-tinged acidity and a hint of wildflower. Drink now.",berry,,,,,,,,,light-bodied,high acidity,bone dry,,ready to drink,aperitif,low tannins,mineral,pale,crisp,no oak,cool climate,pronounced,,zesty
73565,US,"One of the first 2008 Pinots to be released, this fresh young wine has Beaujolais Nouveau-like flavors of freshly crushed cherries, with tangy acidity. It's a fun wine to drink with a juicy cheeseburger.",berry,,,,,,,,,light-bodied,zesty,dry,medium,ready to drink,casual,low tannins,,ruby,,,cool climate,pronounced,modern,zesty
36377,US,"A very good introduction to Steven Kent's Livermore Cabernets, sourced from a handful of his single-vineyard designates, including the Ghielmetti, Home Ranch and Smith Ranch. This is 79% Cab with smatterings of Cab Franc, Malbec and Petit Verdot (an up and coming varietal in Livermore), and still needs some time to develop but all the essentials are there.",,,,,,,,,,medium-bodied,,,,needs aging,dinner,,,,,,,pronounced,traditional,
9889,France,"Syrah and Cabernet Sauvignon make a warm, blend that is full, herbal and concentrated with black fruits and dark tannins. Spice provides a reminder that this wine comes from a warm climate. Drink now, although the wine will be better from 2016.",berry,,,,,,,,,full-bodied,,,high,needs aging,dinner,high tannins,,deep,,,warm climate,intense,,
1230,Italy,"This opens with a pretty floral fragrance of acacia, Spanish broom and chamomile. The palate doles out white peach and tangerine zest alongside fresh acidity.",peach,,,,,,,,,light-bodied,zesty,dry,,ready to drink,aperitif,,,,,,cool climate,pronounced,,perfumed
39975,France,"Green vegetable aromas mingle with fresh kiwi and lime and a touch of pepper and salt. The wine is going through the sort of closed-up phase common with Chenin Blanc, the fruits just a hint, the texture smooth. Give it another 3–4 years, and the fruits will come together with mature almond flavors.",citrus,pepper,,,,almond,,saline,,silky,medium acidity,,,needs aging,seafood pairing,smooth,,,,,cool climate,subtle,,salty
28105,US,"Ripe orange, lime and honey flavors combine with tingly, mouth-watering acidity to give this dry Chardonnay a sweet-and-sour taste. It's an easy wine to drink with mushroom risotto, garlic shrimp, chicken fajitas.",citrus,,,honeysuckle,,,,,honey,medium-bodied,high acidity,dry,medium,ready to drink,casual,,,golden,,,cool climate,pronounced,modern,zesty
4911,US,"This delicate Pinot Noir provides plenty of drinking pleasure, but it's not without limitations. Chief among them is a hint of raw, dank mushroom. It's not strong, but just enough to weigh down the raspberries and cherries. Drink it by 2016.",berry,,mushroom,,,,,,,light-bodied,,dry,,over the hill (past its prime),casual,low tannins,,,,,,subtle,natural,meaty
40179,US,"The shade of this Kathy Joseph creation is that of rosé-colored sunglasses. Such comfort is furthered with a cherry cola and maraschino cherry nose. A slight effervescent zing on the palate accompanies pomegranate flavors followed by an impressively long finish. Great with a fresh garden salad, but able to handle more substantial fare too, such as  breaded chicken cutlets or a cheeseburger.",berry,,,,,,,,,medium-bodied,medium acidity,,,ready to drink,casual,,,pale,long,,,pronounced,,zesty
96018,France,"Overt and round, with chunky aromas of berries and stone fruits. Quite lively and zesty, with purity of flavors. Is it a touch limited in scope and complexity? Yes. But the nectarine and orange flavors are crystalline and the mouthfeel rocks. Imported by Vranken America.",berry,,,,,,,,,medium-bodied,zesty,,,ready to drink,casual,,,,medium,,,pronounced,modern,zesty
35291,Italy,"A pale pink sparkler with loads of intensity and elegance, Essence opens with delicate aromas of cranberry, toasted almond, mature fruit and grapefruit. The wine's perlage is steady and foamy.",berry,,,,,almond,,,,light-bodied,,,,ready to drink,celebration,,,pale,,,,intense,,perfumed
42798,US,Nasty. Hits the mouth with astringent green flavors and turns harsher and more bitter on the finish.,,,,,,,,,,tannic,high acidity,bone dry,,over the hill (past its prime),,high tannins,,,short,,,intense,,
28809,US,"This wine's excellently layered yet light nose mixes pomelo skin with tangelo and lime-spritzed pink-apple notes. The palate is extremely nervy, with grippy lemon-skin texture and squeezed-citrus flavors, all balanced by riper apple. It's like biting into a cold, crisp, just-ripe pear or nectarine.",citrus,,,,,,,,,light-bodied,high acidity,dry,light,,aperitif,,,,,,cool climate,pronounced,,zesty
13915,Italy,Viognier does well in warm climates and this Sicilian expression of the French grape shows pretty floral nuances backed by white almond and orange blossom. Pair this wine with sea bass grilled in lemon leaves or fried squid.,,,,jasmine,,almond,,,,,,,,ready to drink,seafood pairing,,coastal,,,,warm climate,pronounced,,perfumed
20355,Spain,"Yeasty, bready aromas of cantaloupe and citrus feed into an undefined palate that foams up on tongue. Citrus and melon flavors are bland, with powdered sugar and orange notes on the finish.",citrus,,,,,,,,,,,off-dry,,ready to drink,,,,,short,,,muted,,
9558,US,"Sourced from a vineyard planted by Gary Andrus in 1998, this elegant and expressive wine is shaded a lovely rose tone, and scents of rose petals and ripe cherries emerge instantly from the glass. It's well defined, balanced and detailed with sandalwood, cocoa powder, cinnamon and orange-liqueur highlights. Drink now through 2021.",berry,cinnamon,,rose,,,,,,medium-bodied,,,,ready to drink,dinner,,,,,,,pronounced,,perfumed
1862,France,The classic blend for Figeac with its 32% of Cabernet Sauvignon and 28% Cabernet Franc gives a beautifully dense wine with great tannins. The wine is perfumed while the complex tannins are finely cushioned by the generous black fruits and acidity. It is a wine for long-term aging. Drink from 2026.,berry,,,,,,,,,full-bodied,medium acidity,,,long-term aging potential,dinner,high tannins,,,long,,,pronounced,traditional,perfumed
81086,US,"This wine wears its 15.8% alcohol better than any similarly heady wine out there. Yes, it's a bit hot, but the heat comes across as a slight chili pepper edge to the blackberry and dark unsweetened chocolate flavors, and the wine is, in its own way, balanced and elegant. Hard to imagine a more perfect barbecue red.",berry,pepper,,,,,,,,full-bodied,,,high,ready to drink,barbecue,,,,,,hot climate,intense,modern,exotic
97304,US,"Like the regular Chardonnay, Beuna Vista's regular Pinot Noir is a medium-bodied, easy-drinking version of the variety. There's enough herbal complexity to keep it interesting, but the cherry-tinged fruit is ripe and the tannins supple. Finishes with a burst of crisp acidity.",berry,,,,,,sage,,,medium-bodied,high acidity,,medium,ready to drink,casual,medium tannins,,,crisp,,,pronounced,modern,
85860,US,"Similar to Petite Sirah, this is a dark, full-bodied red wine with significant tannins. It's dry, with berry, currant and spice flavors, and kind of rustic. Calls to mind barbecue.",berry,pepper,,,,,,,,full-bodied,,dry,,needs aging,barbecue,high tannins,,deep,,,dry,intense,traditional,smoky
77282,France,"A quite green style of Champagne, very clean and very crisp. From one of the Champagne cooperatives, this is a great value wine, with pleasing freshness. Imported by Grape Expectations of Georgia.",,,,,,,,,,light-bodied,high acidity,bone dry,,ready to drink,aperitif,,,,,,cool climate,,modern,zesty
83939,US,"At first this Chaleur Estate seemed closed up tight and lightly herbal, but grudgingly opened with streaks of olive, chalk, coffee grounds. A second bottle was much brighter, layered with plum, cherry, chocolate, herb, and an impression of pepper. Subtle and sleek, this wine is built to age and needs to be decanted.",plum,pepper,,,,,sage,chalk,,medium-bodied,,,,needs aging,,medium tannins,,,,oak barrel,,subtle,modern,
67943,US,"An elegant Cabernet that's ready to drink tonight and will hold for some years. Shows good Napa character, with lush, ripe tannins and flavors of black currants, blackberries and cedar that cry out for a good steak.",berry,,,,oak,,,,,full-bodied,,,,ready to drink,dinner,medium tannins,,,,oak barrel,warm climate,pronounced,traditional,
47513,US,"A light, entry-level red, with fresh berry aromas and a touch of dried herbs. Dry, but with an appealing softness to its texture.",berry,,,,,,,,,light-bodied,,dry,light,ready to drink,casual,smooth,,,,,cool climate,subtle,,
41278,US,"This new Malbec is a soft, fruity, extremely dark wine, with scents of raisins and pretty fruit flavors of boysenberries and black cherries, with lighter streaks of coffee and caramel woven through. The balance is excellent, though the wine does not show the depth of flavor that is expressed in its inky dark colors.",berry,,,,,,,,caramel,medium-bodied,,,,ready to drink,,smooth,,deep,,,,muted,modern,
38028,France,"Light, fresh wine, showing pineapple and pear flavors, but in a delicate way. It has lift, crispness, a fine touch of citrus and a hint of toast. An attractive, easy white Burgundy. Imported by Frederick Wildman & Sons, Ltd.",tropical fruit,,,,toast,,,,,light-bodied,high acidity,dry,,ready to drink,aperitif,,,,,oak barrel,cool climate,subtle,modern,zesty
36315,Spain,"Dark and deep, with cola, black fruit and truffle aromas. There's good lift to the palate, but overall it has to be classified as a dense, warm-climate wine with a big body and equally large flavors of black plum, olive and coffee. Seems short and a little simple on the finish.",plum,,truffle,,,,,,,full-bodied,,,high,needs aging,dinner,,,deep,short,,warm climate,intense,modern,
77717,US,"Light and citrusy, this off-dry Riesling features pleasant floral and spice notes that just lack a little zip on the finish.",citrus,,,jasmine,,,,,,light-bodied,medium acidity,off-dry,,,,,,golden,short,,cool climate,subtle,,perfumed
29438,US,"Stiff and tart, this young wine needs a few more years of cellaring to fill itself out. The balance is right, and the vineyard's full-bodied tannins are there in abundance.",,,,,,,,,,full-bodied,high acidity,,,needs aging,,high tannins,,,,,,pronounced,,
98849,US,"Thin and watery, with diluted citrus flavors and lots of raw acidity.",citrus,,,,,,,,,light-bodied,high acidity,,,over the hill (past its prime),,,,,,no oak,cool climate,muted,natural,zesty
77980,US,"Sobra is Brazilian Portuguese for leftovers. It's a Bordeaux blend, but the recipe changes every year. This is very nice and drinking well, smooth with a nicely resolved mix of black fruits, smoky wood, pepper and a bit of bacon fat.",berry,pepper,,,smoke,,,,,medium-bodied,,,,ready to drink,barbecue,smooth,,,smooth,oak barrel,,intense,modern,smoky
14607,US,"A Côtes du Rhône-style blend meant to be drunk early and around a weekday meal, among Terre Rouge's easiest to drink and find wines. There's lots to like, from the wine's high-toned cherry and boysenberry aromas and flavors to its traces of black olive and jaunty, gamy pepper.",berry,pepper,,,,,,,,,,,,ready to drink,dinner,,,,,,,pronounced,,
5438,France,"The simplest and fruitiest of the Cahors made at Gaudou, this is still a structured wine that has some firm, very young tannins that need to round out. Plenty of fruity, fresh black-currant flavor is cut by crisp acidity. The wine will need to age, so drink from 2016.",berry,,,,,,,,,medium-bodied,high acidity,,,needs aging,,medium tannins,,,,,,pronounced,,
88997,US,"Burgundian technique was used in this wine, and the aromas and tastes of those techniques dominate. The wine is heavy in leesy, yeasty, toasted oak notes, which dominate, rather than subtlely support, the underlying fruit.",,,,,toast,,,,,full-bodied,,,,needs aging,,,,,,oak barrel,,pronounced,traditional,smoky
34715,Spain,"Fresh smelling, with notes of green melon, apple, honey and minerals. It's more simple than complex, with crisp apple and orange flavors and then a chunky, slightly pithy finish. For under $15 this is good, casual Albariño that won't steer you wrong.",apple,,,,,,,chalk,honey,,high acidity,dry,,ready to drink,casual,,,,,,,pronounced,,zesty
51077,US,"Sourced from the Bacchus vineyard, this is an oaky, buttery Chardonnay that's fine for an every day quaffer. The oaky flavors quickly overtake fruit that is simple, clean, and apple flavored.",apple,,,,oak,,,,,medium-bodied,,,,ready to drink,casual,,,,,oak barrel,,pronounced,traditional,
3565,US,"Light and almost effervescent in the glass, this popular Grenache-based pink from Doug Margerum offers yeasty, Champagne-like aromas, soft lemon-peel scents and wet slate minerality. The palate's tingling acidity delivers chalky lime and cotton candy flavors, bound together with compelling tension.",citrus,,,,,,,slate,,light-bodied,high acidity,dry,,,aperitif,,mineral,pale,,,cool climate,pronounced,modern,zesty
74729,US,"Made from equal amounts of Pinot Noir and Chardonnay, this wine was aged on the lees for more than four years, which gives it a fabulous creamy, yeasty complexity. There are tantalizing flavors of limes, orange zest, roasted hazelnuts, minerals and smoke. Absolutely wonderful now, and should hold and develop in the bottle through 2014, at least. Only 563 cases produced.",citrus,,,,smoke,hazelnut,,,,creamy,,,,ready to drink,,,mineral,,complex,,,pronounced,traditional,smoky
63422,US,"Nice and dry, with lots of black pepper-infused wild blackberry flavors wrapped into big but pliant tannins. Lots of crunchy acidity, too, which makes the wine sharp. Will be great with a rich steak.",berry,pepper,,,,,,,,full-bodied,high acidity,dry,,ready to drink,dinner,high tannins,,,,,dry,intense,modern,
25870,US,"A monstrous mix of Mourvèdre (89%) and Syrah (11%) from Calaveras's Dalton Vineyard, Twisted Oak's River of Skulls opens with a heady nose of bright cherry, black tea and candied dark plum and shows off bright acidity for such a pleasantly plump wine. Tannins are resolved and yet rightfully there. The long finish is enveloped in raspberry flavors.",plum,,,,,,,,,full-bodied,high acidity,dry,,ready to drink,dinner,medium tannins,,,long,,,pronounced,modern,
67112,Italy,"Here's a bright, buoyant style of Brunello that drinks easily but also delivers the sophistication and complexity you should expect of Montalcino. It opens with crisp, tonic aromas of cassis and wild berry with very subtle aromas of vanilla and toasted nut at the back.",berry,nutmeg,,,vanilla,,,,,medium-bodied,high acidity,,,ready to drink,,,,,,oak barrel,,subtle,modern,
54438,Italy,"Aged only in stainless steel to preserve its fresh, clean flavors, this expression of Favorita (a little-known white wine grape from northern Italy) offers lively tones of lemon zest, white blossom and cut grass.",citrus,,,,,,,,,light-bodied,zesty,dry,,ready to drink,aperitif,,,,,stainless steel,cool climate,pronounced,modern,zesty
89640,US,"High in acidity and ripe in pineapple and vanilla flavors, this is a simple wine. It has sweet and sour flavors, like a sour cough drop.",tropical fruit,,,,vanilla,,,,,,high acidity,off-dry,,,,,,,,,,pronounced,,zesty
18786,US,"Ever since Tamber Bey made the switch from Oakville fruit to their vineyard in Yountville, their Cabernets have dropped in quality. This '09 is dry, tannic and uninteresting, with a harshness that makes it difficult to appreciate the blackberry and cherry fruit.",berry,,,,,,,,,tannic,,dry,,over the hill (past its prime),,high tannins,,,,,dry,muted,,
40259,Spain,"A lesson in contrasts: the nose is both weedy and sweet, with green strawberry aromas mixing with caramel. The palate is also green and slightly bitter, but that's offset by some jammy berry sweetness. Medium in terms of weight, but with burdensome sugars and a clumsy finish.",berry,,,,,,,,caramel,medium-bodied,,off-dry,medium,,,,,,,,cool climate,pronounced,modern,
98965,US,"Comes on a bit flat, with a streak of cardboard under the fruit. Not as fresh as it should be, given the vintage.",,,,,,,,,,,low acidity,,,over the hill (past its prime),,,,,,,,muted,,
37020,Spain,"We suggest very little time with this bulky, medicinal Tempranillo. Despite color and weight, it's prickly, sour and not too ripe. The flavors and finish are short, while the overriding impression is that it's underdeveloped.",,,,,,,,,,full-bodied,high acidity,,,needs aging,,,,,short,,,muted,,
34925,Italy,There are brambly notes here of forest floor and underbrush backed by enough fresh fruit to keep the wine chewy and fresh in the mouth. You'll also get notes of wet tobacco and wild mushroom that add complexity.,berry,,forest floor,,,,,,,medium-bodied,,,,needs aging,cheese pairing,chewy,,,complex,,,pronounced,traditional,smoky
85609,Italy,"With a modern winery located at the foot of the picturesque town of Barolo, Cascina Adelaide proudly produces a bold and innovative interpretation of Barolo. This is a powerful and generous wine with big spice, berry, smoke and mineral tones. The cards it plays best, however, are intensity and persistency.",berry,pepper,,,smoke,,,slate,,full-bodied,,,high,needs aging,,,mineral,,long,,,intense,modern,smoky
93975,Italy,"Here's a Prosecco from the Cartizze cru (offered by the excellent Bortolin estate) that boasts mineral notes and talc powder followed by plush, creamy peach and yellow fruit. The wine ends with a very feminine note of fresh flowers.",peach,,,jasmine,,,,chalk,,light-bodied,,,,,celebration,,mineral,,smooth,,,pronounced,,perfumed
35900,France,"With its rounded texture and smooth wood and yellow fruits, this is a generous wine. It has weight and some richness tempered with acidity and a prominent apple skin character. In another few months, the wine's richness will show better.",apple,,,,oak,,,,,medium-bodied,medium acidity,,,needs aging,,smooth,,,,oak barrel,,pronounced,modern,
30219,US,"For an $18 Oregon Pinot, you can't do much better than this well-made wine from a top-flight vintage. Brambly black cherry fruit carries a streak of cola, with ripe, moderate tannins balancing out a medium-long finish.",berry,,,,,,,,,medium-bodied,,,,ready to drink,,medium tannins,,,long,,cool climate,pronounced,,
821,Italy,"It opens with aromas of forest floor, porcini mushroom and espresso. The straightforward palate offers bright berry, coffee and grilled herbs alongside firm tannins. Drink 2015–2020.",berry,,mushroom,,,,,,,tannic,,,,ready to drink,dinner,high tannins,,,,,,pronounced,traditional,
93271,France,"Atypically dark in color, this brassy Châteauneuf blanc comes across as aromatically muted. Then it's very neutral in flavor, with ample breadth but lacking in richness and depth. It's something of a conundrum.",,,,,,,,,,,,,,,,,,golden,,,,muted,,
82383,US,"Feels soft and cloyingly sweet in pineapple jam and buttered popcorn flavors, and is beginning to be tired and old. Drink up.",tropical fruit,,,,,,,,honey,,,sweet,,over the hill (past its prime),dessert pairing,,,,,oak barrel,,intense,,
32339,US,"Full and round, with snappy acidity that brings life and lift to the luscious fruit, this delicious wine is aimed at those who like a festival of green and yellow fruits in their glass. It has fine texture and length, with a defining mineral streak that elevates this well beyond just fruity. It has medium-term aging potential as well.",,,,,,,,flint,,full-bodied,high acidity,,,needs aging,,,mineral,,,,,pronounced,,zesty
54283,US,"This is an ultrarich, ripe Cabernet, marked by jammy blackberry, blueberry and cherry fruit flavors, with a milk chocolate sweetness and soft, intricate tannins. Made in the soft, modern style, it's best over the next six years.",berry,,,,,,,,,full-bodied,,sweet,,ready to drink,,,,,,oak barrel,warm climate,intense,modern,
43946,US,"A bit rugged and hot in the mouth. Offers a good array of plummy cherry flavor, with bright, zingy acidity and a touch of smoky oak.",plum,,,,smoke,,,,,full-bodied,high acidity,,,needs aging,,medium tannins,,,,oak barrel,hot climate,intense,modern,smoky
49251,US,"From the steep Sonoma slopes of Mount St. Helena comes this tannic, concentrated young 100% Cabernet. Dramatic in structure and flavor, with massively packed blackberries, dark chocolate and pain grillé. The wine was aged in 49% new oak, which adds smoky, spice overtones. Drink now and through 2013.",berry,,,,smoke,,,,,full-bodied,,,,needs aging,dinner,high tannins,mountain,,,oak barrel,warm climate,intense,modern,smoky
9209,France,"Lightly fruity and fresh, a wine that has some crisp acidity although without much definition. The aftertaste is clean, bringing out attractive citrus and red currant fruits. Screwcap.",citrus,,,,,,,,,light-bodied,high acidity,dry,,ready to drink,aperitif,,,,,no oak,cool climate,subtle,modern,zesty
35544,US,"From one of the Russian River's premier Sauvignon Blanc producers, although recent vintages have slipped in quality. The '09 is a good wine, dry and crisp, with citrus, gooseberry and spice flavors. But it's missing the richness of earlier vintages.",citrus,,,,,,,,,light-bodied,high acidity,dry,,over the hill (past its prime),seafood pairing,,,,crisp,,cool climate,muted,,zesty
30909,Spain,"Apple and nectarine aromas are clean and snappy, with a hint of yeast-based vanilla. A fresh, citric palate delivers lime, green apple, pineapple and nectarine flavors, while the finish is clean as a new razor, with nothing off, bitter or pithy.",apple,,,,vanilla,,,,,,high acidity,bone dry,,ready to drink,aperitif,,,,,stainless steel,cool climate,pronounced,modern,zesty
6152,US,"Dull and dusty on the nose, this burly Zin opens up in the glass, offering a slight sweetness of blackberry and vanilla amid its soft texture and structure.",berry,,,,vanilla,,,,,full-bodied,,off-dry,,ready to drink,,smooth,,,,oak barrel,,muted,modern,
